batch_size,run,total_cpu_time (seconds),total_cpu_memory (MB),throughput_bps
32,1,35.3,1430359.95,24927201.76
32,2,37.04,1430358.56,24635951.75
32,3,36.16,1430361.37,25137171.74
32,mean,36.17,1430359.96,24900108.42
64,1,32.18,1429662.22,28621005.34
64,2,31.64,1429663.76,29296292.6
64,3,28.73,1429662.11,31420840.72
64,mean,30.85,1429662.7,29779379.55
128,1,26.93,1429334.94,33093782.57
128,2,28.94,1429332.66,30567050.13
128,3,25.65,1429334.56,33585928.05
128,mean,27.17,1429334.05,32415586.91
256,1,24.83,1429204.15,35897180.43
256,2,25.04,1429209.52,35334847.02
256,3,24.97,1429209.03,35127925.81
256,mean,24.95,1429207.57,35453317.75
512,1,26.7,1429225.67,32020864.22
512,2,27.58,1429225.67,31851900.14
512,3,23.24,1429225.5,37165540.17
512,mean,25.84,1429225.61,33679434.84
