data_size,run,total_cpu_time (seconds),total_cpu_memory (MB),throughput_bps
0.1GB,1,24.06,71461.28,34886781.96
0.1GB,2,20.42,71461.28,41100152.32
0.1GB,3,19.62,71461.28,42780724.41
0.1GB,mean,21.37,71461.28,39589219.56
10GB,1,27.99,7146098.32,34336124.44
10GB,2,29.41,7146099.79,32830771.64
10GB,3,28.23,7146114.64,34588902.15
10GB,mean,28.54,7146104.25,33918599.41
1GB,1,24.58,644043.68,31336807.43
1GB,2,22.03,714612.83,38231755.15
1GB,3,21.86,714612.83,38467927.62
1GB,mean,22.82,691089.78,36012163.4
2GB,1,22.16,1429225.67,38172704.3
2GB,2,22.48,1429225.67,37675381.93
2GB,3,22.93,1429225.67,36912791.98
2GB,mean,22.52,1429225.67,37586959.4
4GB,1,33.02,2858446.24,31435353.19
4GB,2,27.21,2858448.94,32522546.16
4GB,3,24.65,2858440.31,35844407.26
4GB,mean,28.3,2858445.16,33267435.54
6GB,1,26.46,4287673.14,34881866.46
6GB,2,28.26,4287665.68,33199739.0
6GB,3,28.5,4287665.2,33265851.66
6GB,mean,27.74,4287668.01,33782485.71
8GB,1,28.79,5716859.82,34112478.34
8GB,2,28.83,5716866.94,34160940.74
8GB,3,30.64,5716874.24,32087245.0
8GB,mean,29.42,5716867.0,33453554.69
total,1,27.49,9221813.49,32913231.66
total,2,24.69,9221847.54,36094090.98
total,3,28.4,9221862.22,31850611.76
total,mean,26.86,9221841.08,33619311.47
