partition (MB),data (GB),run,total_cpu_time (seconds),total_cpu_memory (MB),throughput_bps,num_worlds,total_duration (s),inference_duration (s)
25,1.0,1,7.31,714586.9,388287077.0,41.0,29.16,20.72
25,1.0,2,6.86,714586.9,403195428.87,41.0,28.89,20.1
25,1.0,3,5.51,714586.74,544417445.62,41.0,20.42,15.1
25,1.0,mean,6.56,714586.85,445299983.83,41.0,26.16,18.64
25,2.0,1,6.95,1429164.26,708007929.21,82.0,33.25,22.88
25,2.0,2,5.49,1429172.11,829275130.37,82.0,29.16,19.14
25,2.0,3,7.04,1429173.8,892334761.78,82.0,28.66,18.43
25,2.0,mean,6.49,1429170.06,809872607.12,82.0,30.36,20.15
25,4.0,3,5.66,2858343.21,1707210001.24,164.0,28.93,18.74
25,4.0,mean,5.66,2858343.21,1707210001.24,164.0,28.93,18.74
25,6.0,1,6.47,4287512.59,2093731680.01,246.0,38.6,23.6
25,6.0,2,5.69,4287520.26,1779920741.86,246.0,41.32,27.06
25,6.0,3,6.14,4287520.2,2415087988.4,246.0,35.12,20.32
25,6.0,mean,6.1,4287517.68,2096246803.43,246.0,38.35,23.66
25,8.0,1,7.13,5716693.67,2710076519.11,328.0,46.96,24.18
25,8.0,2,5.83,5716693.74,3362753026.81,328.0,41.74,19.2
25,8.0,3,5.86,5716686.62,2569604800.15,328.0,43.71,25.02
25,8.0,mean,6.27,5716691.34,2880811448.69,328.0,44.14,22.8
25,10.0,1,6.63,7145863.5,3316429355.95,410.0,51.58,24.82
25,10.0,2,5.98,7145867.43,2870226372.29,410.0,50.7,27.94
25,10.0,3,5.67,7145850.82,3383163633.0,410.0,46.48,23.69
25,10.0,mean,6.09,7145860.58,3189939787.08,410.0,49.59,25.48
25,12.6,1,6.19,9223331.77,3475301538.8,517.0,57.16,30.53
25,12.6,2,5.64,9223325.48,3874514029.52,517.0,55.08,26.52
25,12.6,3,5.64,9223316.69,3779715237.91,517.0,55.61,27.18
25,12.6,mean,5.82,9223324.65,3709843602.08,517.0,55.95,28.08
50,1.0,1,12.4,750306.9,429695412.72,21.0,27.26,20.15
50,1.0,2,10.91,750306.9,439999995.21,21.0,26.67,19.27
50,1.0,3,11.3,750306.9,467017110.65,21.0,23.59,19.03
50,1.0,mean,11.54,750306.9,445570839.53,21.0,25.84,19.48
50,2.0,1,10.95,1464883.82,615440001.49,41.0,31.26,27.21
50,2.0,2,11.08,1464884.82,603823087.23,41.0,31.7,27.67
50,2.0,3,10.93,1464883.84,603593378.25,41.0,31.69,27.56
50,2.0,mean,10.99,1464884.16,607618822.32,41.0,31.55,27.48
50,4.0,1,11.61,2929769.75,1234953957.24,82.0,33.4,27.4
50,4.0,2,10.45,2929768.74,1223283095.28,82.0,33.14,27.24
50,4.0,3,10.45,2929769.79,1229752979.89,82.0,33.06,27.18
50,4.0,mean,10.84,2929769.43,1229330010.8,82.0,33.2,27.27
50,6.0,1,11.98,4394652.41,1607182136.12,123.0,39.87,31.53
50,6.0,2,10.88,4394654.33,1776044159.94,123.0,36.11,27.67
