partition (MB),data (GB),batch_size,batch_varying,run,num_worlds,total_duration (s),inference_duration (s)
50,2.0,512,False,1,41,58.63,50.8
100,100.0,512,False,1,1024,59.69,52.76
100,100.0,512,False,2,1024,58.09,51.26
100,100.0,512,False,3,1024,73.53,63.34
100,983.0,512,False,1,10066,116.81,65.13
100,983.0,512,False,2,10066,109.2,58.98
100,983.0,512,False,3,10066,109.01,59.0
100,1000.0,512,False,1,10240,246.87,193.24
100,1000.0,512,False,2,10240,242.6,184.57
100,1000.0,512,False,3,10240,220.97,163.89
