partition(MB),data(GB),run,num_worlds,duration
25,1.0,1,41.0,00:26.642
25,1.0,2,41.0,00:28.890
25,1.0,3,41.0,00:20.424
25,2.0,1,82.0,00:33.249
25,2.0,2,82.0,00:29.158
25,2.0,3,82.0,00:28.655
25,4.0,1,164.0,00:34.073
25,4.0,2,164.0,00:38.375
25,4.0,3,164.0,00:28.926
25,6.0,1,246.0,00:38.602
25,6.0,2,246.0,00:41.322
25,6.0,3,246.0,00:35.117
25,8.0,1,328.0,00:46.960
25,8.0,2,328.0,00:41.735
25,8.0,3,328.0,00:56.003
25,10.0,1,410.0,00:51.575
25,10.0,2,410.0,00:50.701
25,10.0,3,410.0,00:46.484
25,12.6,1,517.0,00:59.789
25,12.6,2,517.0,00:55.076
25,12.6,3,517.0,00:55.607
50,1.0,1,21.0,00:27.264
50,1.0,2,21.0,00:26.668
50,1.0,3,21.0,00:23.591
50,2.0,1,41.0,00:31.260
50,2.0,2,41.0,00:31.697
50,2.0,3,41.0,00:31.688
50,4.0,1,82.0,00:33.396
50,4.0,2,82.0,00:33.144
50,4.0,3,82.0,00:33.059
50,6.0,1,123.0,00:39.869
50,6.0,2,123.0,00:36.108
50,6.0,3,123.0,00:36.648
50,8.0,1,164.0,00:38.041
50,8.0,2,164.0,00:37.312
50,8.0,3,164.0,00:38.077
50,10.0,1,205.0,00:40.331
50,10.0,2,205.0,00:41.245
50,10.0,3,205.0,00:42.897
50,12.6,1,259.0,00:43.206
50,12.6,2,259.0,00:45.546
50,12.6,3,259.0,00:45.920
75,1.0,1,14.0,00:38.746
75,1.0,2,14.0,00:39.163
75,1.0,3,14.0,00:39.507
75,2.0,1,28.0,00:41.169
75,2.0,2,28.0,00:40.866
75,2.0,3,28.0,00:41.887
75,4.0,1,55.0,00:43.089
75,4.0,2,55.0,00:43.294
75,4.0,3,55.0,00:47.971
75,6.0,1,82.0,00:49.995
75,6.0,2,82.0,00:44.647
75,6.0,3,82.0,00:44.643
75,8.0,1,110.0,00:46.351
75,8.0,2,110.0,00:52.350
75,8.0,3,110.0,00:42.600
75,10.0,1,137.0,00:53.376
75,10.0,2,137.0,00:47.972
75,10.0,3,137.0,00:46.899
75,12.6,1,173.0,00:50.825
75,12.6,2,173.0,00:52.275
75,12.6,3,173.0,00:44.953
100,1.0,1,11.0,00:38.314
100,1.0,2,11.0,00:28.85
100,1.0,3,11.0,00:30.77
100,2.0,1,21.0,00:30.54
100,2.0,2,21.0,00:31.73
100,2.0,3,21.0,00:38.55
100,4.0,1,41.0,01:01.291
100,4.0,2,41.0,01:01.69
100,4.0,3,41.0,01:00.97
100,6.0,1,62.0,00:56.67
100,6.0,2,62.0,01:02.34
100,6.0,3,62.0,01:14.21
100,8.0,1,82.0,01:06.34
100,8.0,2,82.0,00:56.70
100,8.0,3,82.0,01:06.24
100,10.0,1,103.0,00:59.84
100,10.0,2,103.0,01:08.01
100,10.0,3,103.0,01:00.01
100,12.6,1,130.0,01:07.39
100,12.6,2,130.0,01:10.10
100,12.6,3,130.0,01:08.19
