Processor,Batch Size,Dataset Size (GB),CPU Time (s),GPU time (s),Average CPU time (s),Average GPU Time (s),Inference Time,CPU memory usage,Average of CPU memory usage (Mb),GPU memory usage (MB),Average GPU memory Usage (Mb),Throughput (bitpers),Average throughput(bitpers),,
Personal Laptop,512,1,734.767461,,701.0808177,0,701.0808177,1036176.042,1036029.368,,#DIV/0!,8122.163014,8123.313056,,
Personal Laptop,512,1,726.337539,,,,0,1035882.694,,,,8124.463098,,,
Personal Laptop,512,1,642.137453,,,,0,,,,,,,,
Personal Laptop,512,2,1500.418586,,1496.330675,0,1496.330675,2118531.416,2118419.822,,#DIV/0!,8124.114144,8123.649876,,
Personal Laptop,512,2,1499.351915,,,,0,2118773.578,,,,8123.185609,,,
Personal Laptop,512,2,1489.221523,,,,0,2117954.471,,,,,,,
Personal Laptop,512,4,3014.639555,,2997.602505,0,2997.602505,4227033.716,4226568.804,,#DIV/0!,8122.923087,8123.816643,,
Personal Laptop,512,4,2996.060537,,,,0,4226480.929,,,,8123.985494,,,
Personal Laptop,512,4,2982.107422,,,,0,4226191.768,,,,8124.541348,,,
Personal Laptop,512,6,4487.782813,,4489.028164,0,4489.028164,6343436.268,6343984.709,,#DIV/0!,8124.364811,3825713.346,,
Personal Laptop,512,6,4482.584584,,,,0,6344223.67,,,,8123.356471,,,
Personal Laptop,512,6,4496.717095,,,,0,6344294.189,,,,11460892.32,,,
Personal Laptop,512,8,6681.049816,,6283.323444,0,6283.323444,8454184.908,8453107.244,,#DIV/0!,8122.829631,7527183.53,,
Personal Laptop,512,8,6114.36005,,,,0,8453102.837,,,,11231249.57,,,
Personal Laptop,512,8,6054.560466,,,,0,8452033.987,,,,11342178.19,,,
Dell XPS Server,512,1,205.7923227,,206.8303771,0,206.8303771,1036457.995,1036457.996,,#DIV/0!,40895552.43,40690970.11,,
Dell XPS Server,512,1,206.8558582,,,,0,1036457.997,,,,40685290.68,,,
Dell XPS Server,512,1,207.8429504,,,,0,1036457.995,,,,40492067.23,,,
